"ville","nom","code_postal"
236,Sancergues,18140
237,Sancerre,18300
238,Sancoins,18600
239,Santranges,18240
240,Saugy,18290
241,Saulzais-le-Potier,18360
242,Savigny-en-Sancerre,18240
243,Savigny-en-Septaine,18390
244,Senneçay,18340
245,Sens-Beaujeu,18300
246,Serruelles,18190
247,Sévry,18140
248,Sidiailles,18270
249,Soulangis,18220
250,Soye-en-Septaine,18340
251,le Subdray,18570
252,Subligny,18260
253,Sury-en-Vaux,18300
254,Sury-ès-Bois,18260
255,Sury-près-Léré,18240
256,Tendron,18350
257,Thaumiers,18210
258,Thauvenay,18300
259,Thénioux,18100
260,Thou,18260
261,Torteron,18320
262,Touchay,18160
263,Trouy,18570
264,Uzay-le-Venon,18190
265,Vailly-sur-Sauldre,18260
266,Vallenay,18190
267,Vasselay,18110
268,Veaugues,18300
269,Venesmes,18190
270,Verdigny,18300
271,Vereaux,18600
272,Vernais,18210
273,Verneuil,18210
274,Vesdun,18360
275,Vierzon,18100
276,Vignoux-sous-les-Aix,18110
277,Vignoux-sur-Barangeon,18500
278,Villabon,18800
279,Villecelin,18160
280,Villegenon,18260
281,Villeneuve-sur-Cher,18400
282,Villequiers,18800
283,Vinon,18300
284,Vorly,18340
285,Vornay,18130
286,Vouzeron,18330
